id,customerId,timestamp,productListItems
CC-10001,C-1001,2025-01-15T03:50:00Z,"[{""SKU"":""sku-123"",""quantity"":1}]"
CC-10002,C-1002,2025-01-15T03:51:15Z,"[{""SKU"":""sku-456"",""quantity"":2}]"
CC-10003,C-1003,2025-01-15T03:52:30Z,"[{""SKU"":""sku-789"",""quantity"":1}]"
CC-10004,C-1004,2025-01-15T03:53:45Z,"[{""SKU"":""sku-123"",""quantity"":1},{""SKU"":""sku-321"",""quantity"":2}]"
CC-10005,C-1005,2025-01-15T03:55:00Z,"[{""SKU"":""sku-321"",""quantity"":3}]"
CC-10006,C-1006,2025-01-15T03:56:15Z,"[{""SKU"":""sku-789"",""quantity"":1}]"
CC-10007,C-1007,2025-01-15T03:57:30Z,"[{""SKU"":""sku-456"",""quantity"":1},{""SKU"":""sku-789"",""quantity"":1}]"
CC-10008,C-1008,2025-01-15T03:58:45Z,"[{""SKU"":""sku-123"",""quantity"":2}]"
CC-10009,C-1009,2025-01-15T04:00:00Z,"[{""SKU"":""sku-321"",""quantity"":1}]"
CC-10010,C-1010,2025-01-15T04:01:15Z,"[{""SKU"":""sku-789"",""quantity"":1},{""SKU"":""sku-123"",""quantity"":1}]"
